group,prime,target,condition,primetype,expected
A,starch,STAR,ortho_nsyll,related,j
A,scarce,SCAR,ortho_nsyll,related,j
A,pawn,PAW,ortho_nsyll,related,j
A,hemp,HEM,ortho_nsyll,related,j
A,overt,OVER,ortho_nsyll,related,j
A,pinch,PIN,ortho_nsyll,related,j
A,fleece,FLEE,ortho_nsyll,related,j
A,tart,TAR,ortho_nsyll,related,j
A,sight,SIGH,ortho_nsyll,related,j
A,tease,TEA,ortho_nsyll,related,j
A,gasp,GAS,ortho_nsyll,related,j
A,warmth,WAR,ortho_nsyll,related,j
A,runt,RUN,ortho_nsyll,related,j
A,peer,PEE,ortho_nsyll,related,j
A,charge,CHAR,ortho_nsyll,related,j
A,zoom,ZOO,ortho_nsyll,related,j
A,silken,TWIN,ortho_nsyll,unrelated,j
A,nuns,SEA,ortho_nsyll,unrelated,j
A,dots,RAM,ortho_nsyll,unrelated,j
A,gangs,STUN,ortho_nsyll,unrelated,j
A,monks,FAR,ortho_nsyll,unrelated,j
A,suns,BAR,ortho_nsyll,unrelated,j
A,casks,DRAW,ortho_nsyll,unrelated,j
A,soils,GROW,ortho_nsyll,unrelated,j
A,moths,WHIR,ortho_nsyll,unrelated,j
A,figs,WEE,ortho_nsyll,unrelated,j
A,stored,PROM,ortho_nsyll,unrelated,j
A,wiped,DEN,ortho_nsyll,unrelated,j
A,urges,BLUR,ortho_nsyll,unrelated,j
A,sobs,BEE,ortho_nsyll,unrelated,j
A,lays,YAW,ortho_nsyll,unrelated,j
A,eked,FUR,ortho_nsyll,unrelated,j
A,canvas,CAN,ortho_syll,related,j
A,enterprise,ENTER,ortho_syll,related,j
A,ginseng,GIN,ortho_syll,related,j
A,tandem,TAN,ortho_syll,related,j
A,counterfeit,COUNTER,ortho_syll,related,j
A,sincere,SIN,ortho_syll,related,j
A,maintain,MAIN,ortho_syll,related,j
A,dogma,DOG,ortho_syll,related,j
A,pundit,PUN,ortho_syll,related,j
A,panda,PAN,ortho_syll,related,j
A,haggis,HAG,ortho_syll,related,j
A,carcass,CAR,ortho_syll,related,j
A,plantain,PLAN,ortho_syll,related,j
A,marquis,MAR,ortho_syll,related,j
A,banjo,BAN,ortho_syll,related,j
A,bungee,BUN,ortho_syll,related,j
A,faded,BRA,ortho_syll,unrelated,j
A,sleeper,TAB,ortho_syll,unrelated,j
A,closeness,APART,ortho_syll,unrelated,j
A,columnist,PLAIN,ortho_syll,unrelated,j
A,dating,SUM,ortho_syll,unrelated,j
A,blender,LET,ortho_syll,unrelated,j
A,sicker,CASH,ortho_syll,unrelated,j
A,poster,GOB,ortho_syll,unrelated,j
A,wiper,GUM,ortho_syll,unrelated,j
A,setter,MAN,ortho_syll,unrelated,j
A,absorbent,EXTRA,ortho_syll,unrelated,j
A,roomy,PAR,ortho_syll,unrelated,j
A,leaning,BOY,ortho_syll,unrelated,j
A,wasted,TEN,ortho_syll,unrelated,j
A,highest,CAP,ortho_syll,unrelated,j
A,exited,HUM,ortho_syll,unrelated,j
A,muddy,MUD,transparent,related,j
A,wisely,WISE,transparent,related,j
A,plugging,PLUG,transparent,related,j
A,honorable,HONOR,transparent,related,j
A,weaken,WEAK,transparent,related,j
A,dearly,DEAR,transparent,related,j
A,drying,DRY,transparent,related,j
A,foolish,FOOL,transparent,related,j
A,sadness,SAD,transparent,related,j
A,madness,MAD,transparent,related,j
A,foggy,FOG,transparent,related,j
A,dreadful,DREAD,transparent,related,j
A,joyful,JOY,transparent,related,j
A,tagging,TAG,transparent,related,j
A,lawful,LAW,transparent,related,j
A,aiming,AIM,transparent,related,j
A,erupted,DIP,transparent,unrelated,j
A,avoiding,CLUE,transparent,unrelated,j
A,hunted,SPY,transparent,unrelated,j
A,lodging,PAD,transparent,unrelated,j
A,courting,BONE,transparent,unrelated,j
A,rotating,HARM,transparent,unrelated,j
A,rises,ODD,transparent,unrelated,j
A,shower,CRY,transparent,unrelated,j
A,touchy,ACID,transparent,unrelated,j
A,jumper,SKI,transparent,unrelated,j
A,amended,RANK,transparent,unrelated,j
A,weeded,EGO,transparent,unrelated,j
A,promoter,TRIM,transparent,unrelated,j
A,patted,FAT,transparent,unrelated,j
A,sweating,FLAW,transparent,unrelated,j
A,poorest,SHARP,transparent,unrelated,j
A,gutter,GUT,opaque,related,j
A,petty,PET,opaque,related,j
A,department,DEPART,opaque,related,j
A,corny,CORN,opaque,related,j
A,treaty,TREAT,opaque,related,j
A,tractable,TRACT,opaque,related,j
A,topic,TOP,opaque,related,j
A,irony,IRON,opaque,related,j
A,muggy,MUG,opaque,related,j
A,butter,BUTT,opaque,related,j
A,belly,BELL,opaque,related,j
A,ladder,LAD,opaque,related,j
A,wander,WAND,opaque,related,j
A,luster,LUST,opaque,related,j
A,pigment,PIG,opaque,related,j
A,earnest,EARN,opaque,related,j
A,ranges,ARCH,opaque,unrelated,j
A,openly,TEND,opaque,unrelated,j
A,tasted,KIT,opaque,unrelated,j
A,masses,HAM,opaque,unrelated,j
A,saying,MAT,opaque,unrelated,j
A,eluded,RUST,opaque,unrelated,j
A,softer,BRAND,opaque,unrelated,j
A,subtly,CHOP,opaque,unrelated,j
A,vividly,FIG,opaque,unrelated,j
A,races,INN,opaque,unrelated,j
A,moving,FORM,opaque,unrelated,j
A,bosses,POND,opaque,unrelated,j
A,finer,OPT,opaque,unrelated,j
A,creeping,GULL,opaque,unrelated,j
A,cheaply,FLICK,opaque,unrelated,j
A,visited,WIT,opaque,unrelated,j
A,spot,SPOT,identity,related,j
A,shirt,SHIRT,identity,related,j
A,fail,FAIL,identity,related,j
A,push,PUSH,identity,related,j
A,fuss,FUSS,identity,related,j
A,elm,ELM,identity,related,j
A,hat,HAT,identity,related,j
A,ace,ACE,identity,related,j
A,query,QUERY,identity,related,j
A,cow,COW,identity,related,j
A,ant,ANT,identity,related,j
A,joke,JOKE,identity,related,j
A,dust,DUST,identity,related,j
A,lap,LAP,identity,related,j
A,rug,RUG,identity,related,j
A,eye,EYE,identity,related,j
A,rent,SPIN,identity,unrelated,j
A,suit,LOCK,identity,unrelated,j
A,bog,HIP,identity,unrelated,j
A,plea,KNOT,identity,unrelated,j
A,mount,ANGEL,identity,unrelated,j
A,ill,JAM,identity,unrelated,j
A,tank,FUND,identity,unrelated,j
A,eel,TUB,identity,unrelated,j
A,row,TIP,identity,unrelated,j
A,oil,BAY,identity,unrelated,j
A,sit,TOY,identity,unrelated,j
A,rum,WIG,identity,unrelated,j
A,fan,EAT,identity,unrelated,j
A,guy,PUB,identity,unrelated,j
A,gap,RAT,identity,unrelated,j
A,hay,POT,identity,unrelated,j
A,leaps,SIR,ww_fillers,unrelated,j
A,phony,HERB,ww_fillers,unrelated,j
A,sands,RAY,ww_fillers,unrelated,j
A,frogs,WORM,ww_fillers,unrelated,j
A,marker,FEE,ww_fillers,unrelated,j
A,noses,FOND,ww_fillers,unrelated,j
A,floods,POD,ww_fillers,unrelated,j
A,fences,TIDE,ww_fillers,unrelated,j
A,echoes,PIE,ww_fillers,unrelated,j
A,cooled,LEAN,ww_fillers,unrelated,j
A,skirts,HUG,ww_fillers,unrelated,j
A,fluffy,NAIL,ww_fillers,unrelated,j
A,ounces,SHY,ww_fillers,unrelated,j
A,paints,DULL,ww_fillers,unrelated,j
A,danced,GEM,ww_fillers,unrelated,j
A,lacked,CLAY,ww_fillers,unrelated,j
A,clicks,CAB,ww_fillers,unrelated,j
A,hopping,FLESH,ww_fillers,unrelated,j
A,shaving,STEAL,ww_fillers,unrelated,j
A,carrots,KID,ww_fillers,unrelated,j
A,broadly,ASH,ww_fillers,unrelated,j
A,tissues,PAY,ww_fillers,unrelated,j
A,wrongly,OAK,ww_fillers,unrelated,j
A,bananas,WEB,ww_fillers,unrelated,j
A,hopeful,BOW,ww_fillers,unrelated,j
A,hardness,DIG,ww_fillers,unrelated,j
A,indicted,POUR,ww_fillers,unrelated,j
A,boxer,EAR,ww_fillers,unrelated,j
A,chatting,CHESS,ww_fillers,unrelated,j
A,booking,TIN,ww_fillers,unrelated,j
A,stunned,JET,ww_fillers,unrelated,j
A,drowned,RAW,ww_fillers,unrelated,j
A,obesity,WAB,nw_fillers,unrelated,f
A,pompous,CAG,nw_fillers,unrelated,f
A,forging,KAM,nw_fillers,unrelated,f
A,melodic,VAR,nw_fillers,unrelated,f
A,refunds,MAB,nw_fillers,unrelated,f
A,pledged,PAG,nw_fillers,unrelated,f
A,endowed,HAN,nw_fillers,unrelated,f
A,statues,VAP,nw_fillers,unrelated,f
A,brushes,MAZ,nw_fillers,unrelated,f
A,pithces,NAT,nw_fillers,unrelated,f
A,collars,MUP,nw_fillers,unrelated,f
A,regimes,MOG,nw_fillers,unrelated,f
A,cunning,FUD,nw_fillers,unrelated,f
A,robbing,NUG,nw_fillers,unrelated,f
A,choking,PUM,nw_fillers,unrelated,f
A,squared,NAL,nw_fillers,unrelated,f
A,revoked,NIG,nw_fillers,unrelated,f
A,modeled,PUE,nw_fillers,unrelated,f
A,flashed,CIG,nw_fillers,unrelated,f
A,plunged,PON,nw_fillers,unrelated,f
A,trends,CIP,nw_fillers,unrelated,f
A,owns,BEIL,nw_fillers,unrelated,f
A,caring,SAIT,nw_fillers,unrelated,f
A,allies,ZAKE,nw_fillers,unrelated,f
A,drinks,WALD,nw_fillers,unrelated,f
A,atomic,LALE,nw_fillers,unrelated,f
