image1,image2,image3,image4,audiofile,targetlocation,NPTime,audiodur
longscissors.png,brain.png,orca.png,avocado.png,longscissors.mp3,1,1011,2317
globe.png,shortcandle.png,shortrocket.png,pancakes.png,shortrocket.mp3,3,755,1970
thinruler.png,thickruler.png,pear.png,thinarrow.png,thinruler.mp3,1,967,1967
